,text
450,sinds 4 dagen lijd mijn vrouw aan diarree zij heeft van de dokter poeders gekregen om uitdroging te voorkomen sinds vanmorgen heeft zij bloed bij de ontlasting wat moeten wij nu doen
451,zijn stukjes bloed in de ontlasting normaal ik heb regelmatig diaree met stukjes bloed veel slijm als de ontlasting wat harder is zitten er heel veel van die stukjes door de ontlasting heen okal heb ik niks roods gegeten 
452,ik heb nu ook anderhalf jaar van obstipatie rommelingen buikpijn e d ik vind dat er gee peil op te trekken valt begin me toch enigzins zorgen te maken kan een verwijsbrief van de dokter krijgen maar zie heel erg op tegen de onderzoeken wie kan mij daar iets over vertellen groetjes yvl_me
453,23 jarige vrouw die vaak tijdens of na geslachtsgemeenschap last heeft van bloedverlies geen pijnklachten en slik de pil zou graag willen weten wat het zou kunnen zijn
454,7 maanden geleden zijn de baarmoeder en de eierstokken verwijdert als ik iets te zwaar schuif of til ga ik vloeien is dit normaal 
455,vaak slijm vanuit m n slokdarm en ook het gevoel of mijn eten blijft hangen
456,begin februari is er een poliep uit mijn baarmoeder verwijderd nu 10 weken later heb ik het idee dat het wondje in mijn baarmoeder nog niet dicht is ik heb nog steeds pijn en verlies nog steeds bloed weet iemand of dit kan 
457,help ik ben al meer dan9 dagen tot 11 dagen hevig ongesteld ik was er net een week van af en ben het weer dat klopt niet ik ben niet aan de pil al een jaar niet meer wie weet wat dat is liefs elsje
458,help me aub ik was aan het vingeren en plots begon ik enorm hard te bloeden terwijl ik mijn maanstonden maar binnen 2 weken heb en altijd optijd ben hopelijk kan iemand me helpen
459,hoi ik ben 6 weken zwanger alleen heb ik dus nu al 3 dagen een klein beetje bloedverlies en weet nu niet precies wat ik moet doenâ is mijn 3de zwangerschap
460,hoi na het vrijen heb ik last van bloed verlies gebeurt vaak de dag erna ik zit aan de pil en we gebruiken condoom ben zelf een kleine vrouw met een smal postuur wat kan dit zijn 
461,ik ben 56 jaar en na anderhalf jaar weer ongesteld moet ik hiermee naar de huisarts 
462,ik ben ongesteld en heb zo n hevige buikpijn en bloedverlies is dit normaal of moet ik hiermee naar de dokter 
463,ik ben ongeveer 5 weken zwanger en heb gisteren na het vrijen bloedverlies gehad wijst dit op een miskraam 
464,ik heb sex gehad toen was ik 3 dagen telaat bleek zwanger te zijn nu heb ik bloedingen in de eersye paar dagen ban m n zwangerschap maar hele heftige is dit normaal of is dit een miskraam ben ik nu nog wel zwanger was de test wel goed wat moet ik doen nog een test 
465,hallo ik ben ellie en ik heb na gemeenschap met mijn vriend de laatste tijd wel erg vaak bloedverlies het bloed is dikker en wat donkerder tijdens de gemeenschap heb ik geen pijn daarna wel eens wie heeft dit ook of weet wat het eventueel kan zijn groetjes
466,heb sinds 3 jaar een vaste vriend we zien elkaar om de week en telkens als we dan voor het eerst weer sex hebbe heb ik erg last van bloedverlies wie weet hoe dit komt en of het gevaarlijk is kan je hier door ontvruchtbaar raken 
467,is het logisch dat je 5 jaar na de overgang weer heel erg gaat vloeien en dat al wekenlang ook heb ik een hele dikke buik 
468,is het logisch dat je 5 jaar na de overgang weer heel erg gaat vloeien en dat al wekenlang ook heb ik een hele dikke buik ik heb sex gehad toen was ik 3 dagen telaat bleek zwanger te zijn nu heb ik bloedingen in de eersye paar dagen ban m n zwangerschap maar hele heftige is dit normaal of is dit een miskraam ben ik nu nog wel zwanger was de test wel goed wat moet ik doen nog een test 
469,kan iemand mij even helpen ik heb de prikpil 1 keer gebruikt en moest in juni nieuwe shot halen ben niet meer gegaan maar ben nu 3maanden verder en nog niet ongesteld maar ik vloei wel erg veel is dat normaal heeft iemand ervaring 
470,hallo sinds gisteren heb ik een enorme blaar op mijn teen hij is opengesprongen en de helft van het velletje is er toen afgegaan het is nu rood en er komt vocht uit ook geeft het een branderig gevoel wat moet ik doen 
471,ik hen regelmatig een grote rode schrale plek in mijn lies met daarop een vies ruikende vettige substantie wat is de oorzaak 
472,jeuk
473,af en toe gemiddeld 1 x in de 2 maanden slaat mijn hart op hol het lijkt net of mijn hart boven in mijn keel zit en gaat als een razende te keer ik ben een gezonde vrouw van 56 jaar gebruik geen medicatie rook niet af en toe alcohol en ben sportief ik wordt er wel een beetje angstig van 
474,de afgelopen maanden erg moe elke avond keelpijn soms hartkloppingen slecht slapen gespannen nek
475,goedemorgen ik had gisteren een hartslag van 140 slagen per minuut in rust is dit wel goed ik was erg bang 
476,hallo allemaal ik had een vraagje ik heb last van een versneld hartslag vooral bij het sochtend opstaan gaat mijn hart sneller kloppen ik neem hier betablokkers voor in die helpen wel maar zodra ze zijn uitgewerkt voel ik men hart weer wie heeft dit ook en voor hoelang groetjes van mij
477,hallo zijn er mensen die hartoverslagen hebben net als ik met bigeminie na elke normale slag een extra systole erbij het is zo vervelend pff om de slag een extra slag ik word er knetter van ben 24jaar hopelijk hier en daar een lotgenoot hoewel ik het niemand toewens hoor
478,hallo als ik bijv in bed lig of achter de computer zit kan ik een hele hoge hartslag krijgen volgens mij moet die dan juist lager zijn is dit normaal of weet iemand hoe dit kan komen mvg
479,hallo ik heb het gevoel dat mn hart overslaat bij zuchten maar ook bij heel hard lachen of als je op je hurken gaat zitten dan pers je ook even snel alle lucht uit de longen soms duurt dit ook een paar slagen is dit normaal 
480,hallo ik heb vaak last van steken in mijn hart daarnaast heb ik dan soms ook hartkloppingen het doet echt pijn en soms voelt het alsof het brand op die plek de pijn en branderig gevoel blijft een tijdje aanhouden en is daarna weer weg wat kan dit zijn 
481,hallo ik vraag mij af of het erg is dat ik de laatste weken zo een last heb van een bonkend hart en iets te snel volgens mij ik voel hem kloppen vooral in rust als ik bezig ben heb ik er geen last van en als ik ga slapen ook niet
482,hoi ik ben 22 jaar en heb geregeld last van hartkloppingen het is altijd als ik rust ben als ik in bed lig of op de bank zit het lijkt dan letterlijk of mijn hart eruit klopt of dat ik flink heb gesport ben daarna ook even moe kan dit kwaad ik heb namelijk wel mensen in de familie met hart problemen ik hoor graag van jullie groetjes renske
483,ik heb een klap op mijn oor gekregen en het lijkt of de pijn erger wordt als ik blaas komt er geen lucht uit mijn oren masr de binnenkant doet erg zeer
484,ik ben 17 jaar en heb de laatste erg vaak steken rondom mijn hart ook krijg ik het dan erg benauwd en mijn hart gaat snel kloppen ik vraag me af of dit komt doordat ik er zelf aan ga denken of dat dit misschien echt symptomen zijn van hartritmestoornissen 
485,ik ben mij temazepam vanacht vergeten en kreeg last van hartkloppingen en zweetaanvallen had de dosis toen nog wel in genomen maar voel nog steeds ontwenningsverschijnselen wat moet ik nu doen mvg brandon
486,ik heb de hele dag al last van een bonzend hart ook al lig ik nu al 3 uur op bed om uit te rusten tevens omdat ik er echt misselijk van word het blijft maar door gaan gezien mijn leeftijd 19 lijkt het me niet heel normaal maar om er nou meteen mee naar de dokter te gaan is een tweede 
487,onregelmatige hartkloppingen neem bloedverdunners en cholesterolverlagers heb het vrij regelmatig zonder dat ik stress heb of zo 
488,hallo allemaal ik het soms dat mijn hart helemaal uit zijn ritme is normaal gaat het dan zo bij mij boem boem boem boem en dan boemboemboemboemboemboem en dan hersteld het zich weer in boem boem boem boem wie herkend dit ook groetjes marion
489,hallo ik heb ernstige copd gold4 sta ook op de wlijst voor longtransplantatie heb sinds vorige week een snelle hartslag in rust 110 als ik iets wil gaan doen nog hoger kan dit komen door mijn longen of kan het ook iets anders zijn heb het niet echt benauwd en mijn saturatie is 96 97 gr heks48
490,ik heb de laatste tijd als ik net een paar seconden wakker ben heel erg last van een snelle hartslag en een bonzend hart ik vind dat eng weet iemand wat het is 
491,3 x buisjes gekregen en nog steeds last van oorontsteking
492,de laatste tijd heb ik veel last van kriebelende oorhaartjes soms ineens heel erg de kriebel trekt dan zelfs door naar mijn keel en soms kriebelt het zo hard dar het een beetje zeer doet volgens de huisarts zijn mijn oren prima in orde zou het misschien oorsmeer kunnen zijn dat irriteert komt dit iemand vekend voor 
493,door wind zelfs bij langzaam fietsen in de zomer of joggen last van pijn oren
494,hallo ik heb de afgelopen 3 dagen soms last van steken in het oor kan dit door teveel lawaai komen of kan dit geen kwaad 
495,heb al 3 weken keel oorpä j 2 keer dokter geweest grä ep zegt ze ä k twjfel ondertussen want nä ks veranderd met zoveel medä catä e antä bä otä cum schrä jft ze nä et voor moet ä k naar een ander dokter
496,hoi ik heb soms een dof verdoofd gevoel in en rond mn rechter oor er zit soms ook een piepje bij weet iemand wat dit is en wat ik eraan kan doen het is niet constant en soms ook weken geen last van 
497,hoi is het normaal om soms echt heel af en toe oppeens heel even een piep in je oor te hebben 
498,ik ben afgelopen zaterdag uitgegaan en vanaf dat moment voel ik druk in mn oren en hoor ik een piep maar als ik een tijdje in stille ruimtes ben heb ik minder tot geen last van de druk in mn oren nog wel de piep toon is mijn oor overbelast gaat dit over 
499,ik heb al een paar dagen een zachte piep in mijn oren en als ik er niet aan denk hoor ik het niet maar als ik op bed ga liggen op mijn zei dan hoor ik het wel zeg alsjeblieft dat het weer vanzelf over gaat
500,ik heb al enkele maanden last van mijn linkeroor ik hoor het geluid van het pompen van het bloed ook s nachts hoor ik het 
501,ik heb hoofdpijn keelpijn mijn keel voelt oogezet en oorpijn mijn hoofd klopt helemaal en dan alleen aan de rechterkant
502,onze kleinzoon van 12 jaar is op schoolkamp geweest en thuis gekomen met heftige oorpijn paracetamol helpt niet wat nu 
503,oorpijn sinds gistermiddag paracetamol helpt niet sinds vandaag neusspray ze vergaat van de pijn ze is 17 jaar en heeft een hoge pijngrens dat komt door haar fibromyalgie wat kunnen we nog meer doen 
504,sinds gisteren is mijn oorlel ontstoken door gaatje van mijn oorbel nu is mijn oor 3 keer zo dik geworden de pijn is best heftig en straalt nu door naar mijn kijk en het klopt continue moet ik dit laten checken bij een arts ik voel me ook helemaal niet lekker door dit 
505,sinds twee dagen hoor ik aan een zijde niets meer soms een piep heel hard ik heb geen koorts of oorpijn niet verkouden en geen koorts wat kan de oorzaak zijn het is weekend en wil nu niemand daarmee lastigvallen op de huisartsenpost 
506,sins een week heb ik constant een suis in mijn oor ik heb verder geen idee hoe het is ontstaan niet met lawaai in aanraking geweest ben een man van 45 jaar 
507,waar komt die irritante voortdurende pieptoon in m n oren vandaan enâ vooral wat is eraan te doen
508,de laatste tijd hoor ik een hele hoge toon soms iets luider soms iets zachter en af en toe nauwelijks of niet ook de volume sterkte is variabel weet iemnd wat dit is 
509,goedemorgen mijn man heeft last van oorontsteking oorlel is helemaal dik en oor zit dicht
510,hallo allemaal ik heb vaak last van ploppende krakende oren niet pijnlijk maar erg vervelend wie herkend dit en weet wat het kan zijn volgens mijn huisarts is het stress ze gooien bij mij alles op stress liefs inge
511,hallo ik ben sinds 1 5 week weer terug van turkije na de vliegreis maakt mijn rechteroor steeds een raar geluid alsof die open wil gaan hij doet geen zeer maar hij plopt steeds iemand een idee of mijn oor nog dicht zit en gaat dit vanzelf weer over groetjes mikk
512,hallo ik heb een middenoorontsteking waardoor ik nu een piep in mijn oor hebâ als de ontsteking over is gaat de piep dan ook geheel weg of is dit blijvend alvast bedankt 
513,heb sinds een aantal weken maanden last van een hoge toon in me oor zo n geluid die je ervaart als je bent wezen stappen met iets te luide muziek heeft iemand daar ervaring mee en is daar wat tegen te doen vg peter
514,ik zit met een vraagje ik merk sinds een tijdje dat ik de fijne geluiden niet kan horen aan mijn linker oor als er bepaalde lage geluiden in mijn rechter oor binnen komt dan trommelt mijn trommel vlies op de toon van het geluid wat dus rechts binnen komt wie herkent het 
515,mijn zoontje van vier jaar heeft nu al een week of tien last van een ontstoken oor er komt veel vuil uit en het stinkt ontzettend na twee antibiotica kuren is het nog steeds niet weg heeft iemand dit met zijn haar kind ook meegemaakt en wat werd daar aan gedaan 
516,na 3 weken nog steeds doof aan oor bovendien hoor ik aan die kant constant mijn hartslag
517,sinds ik een oorontsteking heb gehad hoor ik zachte kerk muziek ik zoek waar t vandaan komt maar nee hoor het is heel zacht maar ik vind t eng ben ik gek aan t worden of zo heb t al een maand liefs mizen
518,wilde oortjes indoen en merkte dat de opening te klein was eerder had ik daar geen problemen mee heb met een wattenstaafje gevoeld en direkt bij de gehoorgang was het pijnlijk 
519,ben in het water tegen een dikke steen gebost voor aan scheenbeen beetje dik en pijnelijk mijn vraag is moet ik nu naar de dockter omdat ik bloed verdunners gebruik
520,beste mijn dochter heeft schok gehad van de draad die hangende aan een weiden moet ik daarmee naar spoed gaan kan het schaden aan haar brengen 
521,gister met hockey een tik van een stick op de knokkel van middelvinger gekregen nu zit daar blauwe plek en heb ik een doof en tintelend gevoel in mijn wijsvinger moet ik hiermee naar de huisarts of trekt dit vanzelf weg omdat er een zenuw beetje klem zit 
522,gisteren was ik van de fiets op mijn rug gevallen vandaag doet de linker kant van m n lijf erg pijn ik word er misselijk van is het mogelijk dat ik gebroken ribben heb zal ik naar de arts gaan of komt het goed van zelf 
523,hallo gisteren is er een verwarming van ongeveer 1m op 1m op mijn hiel gevallen en de verwarming was op ongeveer 20 cm hoogte ik heb pijn aan mijn voet als ik de trap opga en als ik me buig het doet pijn vanachter aan mijn voet zou iemand weten wat het is dank u
524,hallo ik ben vanochtend gevallen op mijn hand nu kan ik mijn duim niet helemaal strekken en helemaal recht doet pijn beetje gevoel loze huid zeurende pijn beetje opgezet niet veel is hij gekneust of gebroken zou ik er mee naar de huisartsen post moeten 
525,hoi ik ben 16 jaar en heb vrijdag een zeer heftige ruzie gehad waar door ik tegen een muur heb geslagen mijn hand is nu behoorlijk dik en blauw en door echt veel pijn zelf als ik niks doe dan klopt het mijn vraag is wat kan ik het beste doen mijn ouders zeggen dat er niks is en dat het vanzelf wel over gaat 
526,ik ben op een betonnen rand gevallen direct op mijn stuitje aan de pijn te voelen lijkt het gebroken moet ik dit laten onderzoeken of moet ik het zo laten genezen hoe lang kan de pijn aanhouden moet ik bepaalde pijnstilling gebruiken 
527,ik ging skaten en viel toen en stoten mijn elleboog hard tegen een betonnen muur ik heb er na een week nog veel last van en paracetemollen helpen niet tegen de pijn heeft iemand een idee wat het kan zijn 
528,ik heb al een tijdje een knobbeltje in mijn rechter borst ik kan hem wel gewoon bewegen en doet verder geen pijn ofzo ik ben er al mee na de huisarts geweest maand geleden en die zij dat ik me niet echt druk hoefde te maken maar het zit er nog steeds moet ik terug gaan 
529,ik heb de laatste tijd veel pijn in mijn benen en het gaat maar niet weg ik ben laatst gevallen en het was redelijk hard mag ik hier wat hulp bij 
530,ik heb een pijnlijk en irritant probleem als ik een paar dagen niet veel heb bewogen dan begint mijn knie als het waren op slot te zitten als ik dan bijvoorbeeld op sta dan knakt die dit doet enorm zeer valt er wat aan te doen ik heb mezelf voorgenomen in vakantie s meer te gaan bewegen wat ik vanaf vandaag ook al doe maar wat kan ik er aan doen als het gebeurd het te voorkomen en heeft iemand enig idee wat dit is alvast bedankt 
531,ik heb een spierscheuring rechterkuit zweepslag wat te doen
532,ik heb een trap tegen mijn vinger gehad hij is erg dik nu alleen aan de onderkant en doet erg pijn en geeft een tintelend gevoel ik kan er weinig druk op zetten en niet helemaal buigen zoals ik met mijn andere vingers kan moet ik mij zorgen maken 
533,ik heb een week geleden mijn knieband afgescheurd en mijn collaterale band ingescheurd met skiã n word vanmorgen wakker met een dik been moet ik meteen naar de huisartsenpost of is dit normaal als je niet beweegt ik ben 62
534,ik heb mij 12 dagen geleden heel de bovenkant van mijn arm gestoten ik kreeg een blauwe plek deze verdwijnt langzamerhand maar mijn arm voelt nog steeds heel zwaar is dit een kneuzing 
535,ik heb niks gedaan maar ik heb zon pijn in mn bovenbenen dat ik niet eens kan lopen als ik het aanraak doet het al pijn spierpijn denk ik maar hoe want ik lig echt alleen naar op de bankâ wat is dit 
536,man 53 jaar pijn aan teen nu 14 dagen behandeld door medische pedicure ontsmet dagelijks maar aanraking huid of schoenen aandoen doet pijn niet rood of ontstoken wat moet ik nu doen
537,mijn mama van 73 heeft zo n 14 dagen geleden haar elleboog gebroken ze ligt nu in het gips hetgeen me verontrust is dat ze hã ã l veel pijn heeft en normaal gezien ligt haar pijngrens heel hoog ik maak me serieus zorgen iemand ervaring hiermee 
538,mijn schouderblad is gescheurd en verkeerd geheeld kan dit opnieuw worden gebroken of kan je er niks aan doen 
539,pijn in mijn voet bij het lopen de teen naast de grote teen trekt helemaal door de voet heen
540,sinds 4 dagen terug heb ik af en toe een zeurende pijn bij mijn linker teelbal hij voelt wat groter aan dan de rechter maar er zijn geen knobbels te vinden ik ben van plan om morgen naarde huisarts te gaan als het nog steeds zo is maar wat heb ik eigenlijk 
541,twee weken geleden gevallen nu pijnlijke schouder rechts bewegingen zijn pijnlijk 
542,gisteren zat ik gezellig met een paar vriendinnen achterin de auto plots kregen we een botsing iedereen nogal geschrokken maar geen letsel tenminste vanmorgen werd ik wakker met hevige spier pijn in mijn ene schouder komt dat door de klap trekt het vanzelf weg 
543,ik heb perongeluk een schop tegen mijn duim gekregen maar dat is een week geleden en nu doet hij nog steeds heel veel pijn en kan ik hem niet buigen van de pijn wat kan het zijn 
544,mijn zoon heeft gisteren met voetbal een trap tegen zijn scheenbeen gehad nu kan hij alleen maar op zijn tenen lopen hij heeft wel veel pijn
545,ik ben al lange tijd verkouden eerst met hoesten bloed zuurstofgehalte en longen in orde sinds maandag enkele keren per dag benauwd zou ik bronchitis kunnen hebben en moet ik hiermee weer naar de huisarts gaan het geeft vooral een zeer angstig gevoel waardoor ik ook nog eens onrustig wordt 
546,ik ben net mrt gym op me achterhoofd gevallen en die nu vlekken voor me ogen en heb barstende hoofd pijn wat kan ik hier aan doen
547,ik ben bestel ziek heb koorts en ben erg verkouden ook heb ik een opgezwollen mond en keel amandelen er kwam opeens bloed uit m n keel en nog best veel ookâ ik hoef niet echt te hoesten dus wat moet ik doen 
548,ik heb al 5 jaar last van een loop neus elke dag ik word er gek van ook heb ik om de 5 min en roggel tuf snot slijm ik heb echt alles geprobeert om het te laten stoppen maar nix hielp zelfs een operatie en dat hielp ook niet wie heeft hier ook last van 
549,regelmatig last van druppende neus
550,al een paar dagen alsof ik spierpijn heb in mijn hele lichaam daarbij hoofdpijn en soms warm of koud verder zeer vermoeid 
551,als ik met mijn hoofd schud krijg ik een stekende pijn op een bepaalde plek onder mijn schedel deze pijn blijft een paar seconden de pijn is vrij heftig 
552,hallo ik heb sinds 2 dagen een raar gevoel in mijn hoofd vn mijn wenkbrouw tot boven mijn slaap het voelt als of er iets heel warms in mijn hoofd zit het is als je voor mij staat de rechter kant van mijn hoofd zou dit iets ergs kunnen zijn mvg dennis
553,hallo mensen ik hoop dat iemand mij verder kan helpen ik heb sinds vier dagen steken in mijn hoofd deze zijn het best voelbaar als ik mijn hoofd beweeg ze zitten bij mijn slaap aan de rechterkant ik heb hier nooit eerder last van gehad maar maak me ernstige zorgen liefs m
554,hallo ik heb al ongeveer 1 5 maand last van erge hoofdpijn dit heb ik de hele dag met af en toe steken meestal aan de rechterkant van mijn hoofd misselijk en duizelig soms ook last van mn linkerhand en wazig zien kan iemand mij misschien wat meer informatie geven 
555,heb al hele dag zeer frequent steken in mijn hoofd eenzijdig links en nu ook linkerslaap soms wel om de drie seconden en al wel 40 keer vandaag
556,hey ik ben al best een tijdje verkouden en hoest wel maar nu heb ik beetje hoofdpijn alleen denk dat het erger kan worden maar kan niet van me ipad en telefoon afblijven en is dat heel erg plus heeft u tips tegen hoofdpijn 
557,hoi sinds net bonst mijn hoofd erg veel hoofdpijn is er iets tegen de doen behalve paracetamol eventuele tips zijn erg welkom 
558,ik gebruik preventief dagelijks propranolol maar heb toch wekelijks een migraine aanval kan hier beter mee stoppen of minderen per week heb nu het idee dat ik er niets aan heb en geen voorstander ben van onnodig medicijnen gebruik 
559,ik heb al een tijdje last van flauwe steekjes aan de rechterkant van mijn hoofd ter hoogte van mijn slaap het is een vervelend gevoel het doet niet heel veel pijn maar het is een lastig gevoel ik kan ook niet precies aangeven waar het precies zit wat zou dit kunnen zijn 
560,ik heb de laatste tijd vaak last van een soort brandende hoofdpijn net boven mijn ogen het voelt dan alsof mijn oogbol in brand staat is vooral aan rechteroog soms links moet ik mij zorgen maken ik heb schrik voor een hersentumor 
561,ik heb erge hoofpijn gehad en daarna sprak ik woorden die ik helemaal niet wilde zeggen ik heb â s nachts heel goed geslapen en er nu geen last meer van maar moet ik hier nu mee naar de huisarts 
562,ik heb hoofdpijn achter in het hoofd
563,ik heb mijn hoofd gisteren erg hard gestoten aan de linkervoorkant heb sinds die tijd hoofdpijn in hele hoofd en wat last van mijn ogen gevoelig voor licht hoofdpijn zit door hele hoofd 
564,ik heb sinds 2 weken ernstige hoofdpijn in de slaap het trekt vanuit mijn wang ik ben koortsig en slaap niet meer van de pijnâ het zijn heftige pijn scheuten wat te doen want ik ga echt door de grond vd pijn
565,ik heb sinds een aantal dagen spontane pijn in mijn achterhoofd ook is de plek daar gevoeliger en voelt warmer aan maar er is verder niets te zien ook geen roodheid of zo 
566,ik heb sinds een paar weken last van een pijnlijke ader bij mijn rechter slaap soms is het weg en dan komt het weer terug het lijkt een beetje opgezet als ik buk om iets te pakken voel ik het erger 
567,ik heb vaak last van mijn achterkant van mijn hoofd en nek kan hevig zijn en kan ook zo weer weg zijn kan ook gepaard gaan met misselijk gevoel 
568,mijn vriend slikt antidepressiva maar heeft nu sinds dagen onwijs veel hoofdpijn door stress alleen paracetamol helpt niet mag hij ibuprofen combi ibu en paracetamol slikken met antidepressiva 
569,vorige week had ik eens duizeligheid op werk nu sinds een paar dagen hoofdpijn ook midden in de nacht heel eigenardig zou dat door vermoeidheid komen of teveel naar de pc te kijken 
570,wat kan ik voor advies krijgen ivm meer dan een maand hoofdpijn en zeker bij het bukken hoesten en boven mijn ogen doen het zeer â 
571,zwaar hoofdpijn die niet wilt overgaan met paracetamol
572,een kennis van mij heeft zit kort een knobbel op zijn achterhoofd zitten dit vreselijke pijn doet waardoor hij niet kan slapen ook is hij heel erg vermagerd terwijl hij al heel slank was omdat hij niet verzekerd is durft hij niet naar een dokter of ziekenhuis te gaan wat kan hij doen 
573,hallo ik ben een jongen van 14 jaar en ik heb al 2 dagen last van hoofdpijn op verschillende plekjes weet iemand wat het kan zijn 
574,hallo ik heb al een tijdje last van hoofdpijn en ik heb zo n vaag idee dat het vanuit mijn nek komt omdat ik daar ook vaak last van heb ik heb al tijgerbalsem en zo gegruikt maar het gaat maar niet over wie heeft er nog ideen en oplossingen mvg mschaper
575,hallo ik zit met iets en weet niet wat het zou kunnen zijn ik heb zelden last van een dauw gevoel bij de linkerkant van hoofd beetje bij de slaap het is niet de hele dag door soms stopt het wel heb voor de rest geen andere klachten wat kan dit eventueel zijn
576,ik heb al meer als 4 maanden last van hevig hoofpijn en zie allemaal vlekken voor me ogen ben ook wel geregeld duizelig en oorpijn heeft iemand hier ook ervaring mee groetjes melissa
577,onze dochter van 6 heeft sinds de zomervakantie in nederland regelmatig bijna dagelijks klachten over buikpijn en ook af en toe tegelikertijd hoofdpijn ontlasting is goed en slaapt goed 
578,ik heb 3 weken geleden mijn teentje gestoten tegen een stoel er zit een barstje in na 3 weken is het nog niet beter 
579,ik heb een twee weken geleden mijn kleine teen gestoten nu doet hij nog steeds zeer en is dik 
580,me grote teennagel is voor 3 4de ingescheurd het doet geen pijn ook niet als ik het lichtelijk beweeg alleen als ik het stoot dan wel moet dit losse deel er af worden gehaald of wachten tot het weer is aangegroeid 
581,op dit moment ben ik op vakantie in thailand maar heb een barkruk op mijn teen gehad nu is mijn nagel eraf hoe kan ik het beste mijn teen verzorgen en mag ik in de zee zwemmen 
582,hallo ik heb me gisteren verbrand aan de waterkoker momenteel heb ik een grote rode brandwonde en een blaar die volledig is opengegaan de huid hieronder ziet wit kan iemand mij zeggen wat ik moet doen om littekens te voorkomen nu smeer ik er flamigel op mercietjes
583,ik heb een brandblaar van ongeveer 2 cm op de bovenkant van mijn voet hoe kan je dit goed behandelen zodat hij niet open gaat of gaat ontsteken door bijvoorbeeld schoenen
584,ik heb gister mijn been verbrand door kokend water er zit een grote blaar over heel de wond geen de wond rand is erg rood ik heb er geen pijn aan de wond is ongeveer 2 euromunten groot 
585,ik heb ongeveer 22 uur geleden mijn arm verbrand vanmiddag bij de huisarts geweest met 2 blaren nu zijn er nieuwe blaren aan het opkomen is dat normaal 
586,mijn vriend heeft 30 temazepam 10 mg genomen en 40 fluoxetine 10 mg is dat dodelijk wat voor een gevolgen kan dit hebben moet zijn maag leeggepompt worden 
587,hoi toen ik vanmorgen wakker werd zag ik ineens dat mijn hand dik was het lijkt op vocht moet ik mij nu zorgen maken ik ben een vrouw van 23
588,ik heb mijn enkel verstuikt 2 weken geleden nu kan ik er gewoon op lopen maar niet op drukken en ook niet mee op mijn knieen mee zitten hij blijft ook dik moet ik ermee naar de dokter of gaat het vanzelf over
589,ik heb mijn enkel verstuikt 2 weken geleden nu kan ik er gewoon op lopen maar niet op drukken en ook niet mee op mijn knieen mee zitten hij blijft ook dik moet ik ermee naar de dokter of gaat het vanzelf over onze dochter van 4 5 heeft een vreemde bult op de grote teen de bult zit er inmiddels 2 weken en we vragen ons af wat het zou kunnen zijn en wat we er eventueel aan kunnen doen alvast bedankt attachments image jpeg image jpeg
590,onder het eten ineens een bult als een pingpongbal op linker elleboog zacht van structuur alsof er water in zit het ziet er rood uiit kan dit kwaad en wat zou het kunnen zijn 
591,onze dochter van 4 5 heeft een vreemde bult op de grote teen de bult zit er inmiddels 2 weken en we vragen ons af wat het zou kunnen zijn en wat we er eventueel aan kunnen doen alvast bedankt attachments image jpeg image jpeg
592,plotseling opgezwollen kunstknieã n veel pijnklachten vier dagen geleden een hepatitisprik gehaald verder geen bijzonderheden uitgevoerd kan dit een bijwerking zijn 
593,hey ik weet al heel mijn leven dat ik last heb van hooikoorts dit jaar heb ik telkens ik last heb van mijn hooikoorts ook last van keelpijn ik vind echter daar nergens iets van terug dat dit een symptoon is 
594,hallo ik kan mijn nek met moeite bewegen naar links en rechts dit is als ik het langzaam doe beweeg ik mijn nek sneler dan is er niks aan de hand dat gaat goed wat kan het zijnâ dankje ben 34 jaar
595,ik heb al sinds enkele maanden last van mijn nek en het gaat maar niet over vooral als ik smorgensvroeg opsta ik heb een andere kussen geprobeerd maar het help niet wat kan dat zijn 
596,ik heb uitstralingspijn in mijn arm van een nekhernia en pijn in mijn elleboog van een tennisarm hoe kom ik hier vanaf
597,ik werd vanochtend wakker en ik maak een beweging en kreeg een enorme nekpijn en vooral als ik mijn nek naar links toe beweeg kunt u mij helpen
598,voor mijn werk moet ik de hele dag emails van klanten beantwoorden ik merk dat ik aan het einde van de dag week last van mijn nek en schouder krijg hierdoor deed ik telefonisch werk mijn vragen zijn wat kan ik doen om deze klachten te verminderen is mijn situatie herkenbaar 
599,vrouw 56 werd wakker met heftige nekoijn geen verhoging paracetamol brengt geen verlichting
600,hallo allemaal ik heb al een hele pijn in mijn hals meestal aan de zijkanten en zeker als ip zo die pezen samentrek het lijkt alsof ze gekrompen zijn en ik ze terug uitrek herkent iemand dit 
601,hallo ik heb al jaren lang last van nekpijn ik sta er mee op en ga er mee naar bed pff ben al verschillende keren voor te masseren geweest op dat moment werkt het wel maar als ik weer een uurtje verder ben begint de pijn alweer herkent iemand dit ook of weet je er iets voor 
602,heel erge pijn nek niet kunnen bewegen door stress inspanning wat aan te doen 
603,als ik wat drink of slik voel ik een lichte pijn in het rechter deel van mijn keel nek het vreemde is dat ik het soms wel heb en soms niet 
604,geen pijn maar een voordurende slijmvorming vanuit de neusholte richting mijn slokdarm moet voortdurend slikken om de slijm kwijt te kunnen gebruik regelmatig en verstuiver met een zoutoplossing 
605,gekraak in de keel vooral als ik in bed lig kan er dan gewoon niet van slspen
