;text
621;Ik heb regelmatig last van ontstoken keelamandelen. Ik heb op internet gelezen dat dit tegenwoordig ook met een laserbehandeling verholpen kan worden. Heeft iemand hier ervaring mee? Of kan hier meer over vertellen? bvd ik heb net een walnoot gegeten, en ben nu hees en keel geÃ¯rriteerd, en opgezette lippen
622;Ik heb sinds 1,5 maand last van een prop in een keel, ben er mee naar de dokter geweest en die zegt dat het vanzelf over gaat. Toch heb ik er na het gesprek met de dokter nog steeds last van. Daarnaast heb ik ook dat als ik met mijn hoofd op een kussen lig of wat anders, dat mijn hoofd dan heel erg klopt op het ritme van mij hart. Is dat normaal of moet ik daarmee naar de dokter? Gr Daan
623;ik heb sinds een paar maanden het gevoel dat ik dikke amandelen heb, het irtiteerd niet zo erg maar is toch ook wel vervelend
624;Ik heb sinds een paar dagen last van mijn keel, toen ik ernaar ging kijken ontdekte ik een gaatje achterin mijn mond, ongeveer maast mijn huig. Moet ik hiermee naar de huisarts of moet ik dit gewoon laten? Ik hoop dat u mij kunt helpen.
625;Mijn huig plakt vast aan de rechter zijde van mijn keel. Tussen mijn huig en keel zit een wit vlekje. Wat kan de oorzaak zijn dat mijn huig vastplakt aan mn keel eneen witte vlek ertussen zit?
626;Mijn zoon van 23 heft sinds paar Jaren laast van terugkerende keelpijn, soms duurt het 3 4 dagen met kleine koort, maar soms 1 tot 2 weken last van pijn and hoge koorts. mijn zorg vooral dat hij geregeld 1 keer per maand ziek is.
627;Na een aanhoudende verkoudheid met keelpijn die zo'n acht weken geleden begon, ben ik nu wel van de verkoudheid af maar de keelpijn blijft. Ik heb geen koorts en weinig last maar de keelpijn is vervelend bij slikken. Met eten heb ik geen last. Misschien toch een keelontsteking?
628;Sinds enkele dagen erge keelpijn, straalt ook een naar een oor. Aan de linkerkant in de keel is het ook dikker. (Op de foto niet te zien) verder lichte verhoging 38.0. Is dit gewoon irritatie of een keelontsteking? Attachments: image.jpeg
629;Uitslag op de tong en een vieze smaak in de mond alles wat ik eet of drink smaakt niet.
630;hallo heb sinds twee weken hardnekkige blaasjes in keel volgens huisarts virus,maar wil nog niet echt genezen daarbij loopt er heel veel groen wit slijm van boven naar beneden.iemand een suggestie? ben wel bekend met holte problemen maar dit voelt anders aan mvg arno
631;hallo ik heb last van mijn keel maar ik moet niet hoesten ofzo kan het een keelontsteking zijn ik heb het al een tijdje
632;hoi ik heb nu al 3 weken last van mn keel/strottenhoofd het is net of hij dicht word gekneppen en of er een brok eten in zit en daarbij heb ik nu al 2 dagen pijnlijke steken vlak bij de amandelen weet iemand mischien wat dit is en hoe ik er vanaf kom? bvd groetjes
633;hoi,, Heb nu al meer als een maand elke dag keelpijn me man zegt dat het rood is. Wat kan het zijn maak me wel zorgen moet ik er mee naar de huisarts of toch nog afwachten
634;ik heb last van schimmelinfectie aan mijn stembanden ik zing veel is dit ernstig?
635;ik heb sinds een dag of 5 last van mijn keel. vooral smorgens. nu word de keel wat minder maar ik heb nu allemaal kleine witte spikkels op mijn tong. het voelt niet prettig, maar als ik iets eet dan is het heel branderig.
636;Sinds 3 dagen hebben ik last van mijn linkerbovenarm als ik hem in bepaalde houdingen heb. Dit begon eerst met pijn in mijn linkerborst en daarna trok het naar mijn arm. Ik ben net 2 weken gestopt met roken misschien dat dat er wat mee te maken heeft. Ik ben 19 jaar. En slikt geen medicijnen
637;Ik ben op vakantie in Spanje. Ik heb al 4dagen last van griepachtige verschijnselen/koorts en een rode kring/plek om mijn been.Wat kan ik het beste doen omdat ik in het buitenland ben.
638;Ik krijg net een kopstoot van mijn zoontje van 1 jaar ,precies op het bot onder mijn oog, het deed echt best pijn ! Nu al wat minder , Zou ik ermee na de dokter moeten of zou het niets kwalijks zijn?
639;Al een aantal weken heb ik een opgezette buik, voelt hard aan en ook alsof er veel lucht of iets dergelijks inzit. Verder heb ik hevige pijn, wat in de buurt komt van weeen. Ik kan niet plaatsen uit welk gedeelte van de buik de pijn wegkomt. De pijn komt en gaat. Wat zou dit kunnen zijn?
640;Beeetje buikpijn alles wat ik eet wordt erna misselijk
641;Beste, Ik heb een paar weken geleden tijdens het voetballen een voetbal tegen mijn teelballen gekregen. Ik heb sindsdien pijn in mijn onderbuik. Gaat dit vanzelf weg of wijst het op een ernstig probleem? Alvast bedankt
642;Buikpijn de heletijd door pijn komt voor als krampen in de gehele buik en onderbuik met hoge koorts en de heledag al aan de gang bekend met de chronische ziekte FMF, en dermoietcyste pijnstillers genomen maar geen werking
643;De laatste tijd heb ik af een toe buikpijn, Ik hoef dan meestal niet te poepen maar is wel een buikpijn als of ik moet poepen . Verder heb ik geen pijn in me buik als ik er op druk.
644;Goedenavond, Ik ben bang van een bacteriÃ«le besmetting in mijn darmen. Mijn buik is opgeblazen, pijn rond navel en ook bij staan en lopen. Verstopping en geen eetlust. Gisteren avond had ik hoge koorts van 39,2, vandaag heb ik alleen verhoging. Wat kan dit zijn?
645;Had maandag iets verkeerds gegeten en ben de volgende dag met maagkrampen opgestaan had buscopan genomen en vandaag was ik fit.Vanavond had ik nog spinazie met puree gegeten en weer krijg ik maagkramp tot aan rechterlong waarom zelfs de long dat snap ik niet?
646;Hallo Ik heb sinds mijn zwangerschap 3 jaar geleden erge maag klachten aan over gehouden En heb best veel klachten Ik slik wel iedere dag omeprazol en vorig jaar al maag onderzoek gehad ( gastroscopie) maar ik blijf er last van houden
647;Hallo Ik heb sinds vanmiddag in eens last van steken in maag en steken in onderbuik Ik ben wel bekend met prikkelbaredarmsyndroom
648;Hallo Mijn vrindin heeft sinds een paardagen last van hevige pijn in haar buik we denken zelf aan een onsteking van de blindedarm maar hoe kun je dat zelf onderzoeken.
649;Hallo ik heb asl sinds een paar dagen heel erg last van een pijn tussen mijn navel en borts (dus dat ding ogeveer midden, dat zachte deel dat je kunt indrukken) het doet soms heel erg pijn en soms gewoon heelemaal niet aub suggesties wat het kan zijn?
650;Hallo ik heb een vraag, Heb al meer dan een jaar een mirena spiraal en eigenlijk heb ik nooit klachten gehad. Maar heb nu krampen in mijn onderbuik en wat pijn bij het plassen. Kan dit gekomen zijn dat mijn vriend te diep bij mij is binnengekomen? Hoop op een antwoord.
651;Hallo ik heb hele erge buikpijn het lijkt op ongesteldheids buikpijn maar ik ben niet ongesteld lopen gaat amper
652;Hallo ik heb sinds 12 uur ongeveer pijn in mijn onderbuik en als ik wil staan of lopen doet het nog erger pijn? Ook heb ik soms het gevoel dat ik super erg naar de wc moet maar komt er niks uit. Ook heb ik zwarte/donkere ontlasting gehad vandaag. Is het erg?
653;Hallo sinds paar dagen last van maagpijn buikpijn rugklachten opboeren diarree af en toe En t gevoel steeds ontlasting te moeten hebben wat niet lukt dan â€¦ ben bij huisarts geweest heb maagtabletten helpen nietâ€¦ wat moet ik doen?
654;Hallo, Al ongeveer een week heb ik af en toe stevig kramp in mijn onderbuik. In de tussentijd probeer ik zwanger te raken. Ik ben al 6 dagen overtijd. Kan ik zwanger zijn? Hoort die krampen bij zwangerschap? of is het wat anders?
655;Hallo, Heb pijn in linkerzij als ik erop lig. Ook als ik moet niezen, trekt gelukkig wel wat weg maar blijft zeuren. Ben nooit aan buik geopereerd. Wel opgezette buik, denk zelf aan een buikbreuk. Huisarts kon niets zien of voelen. Wie heeft dit meer meegemaakt? maak me zorgen en blijf last houden.
656;Hallo, sinds een tijdje heb ik best last van mijn buik beetje vage buikpijn. Zo nou niet echt pijn maar wel gevoelig. Beetje borreldende maag, in mijn ontlasting zitten wat dunne draden/slijm als het ware. Doorzichtig is het. Mijn ontlasting is vrij zacht.
657;Heb last van me onder buik en heb 37,5 koorts en ben misselijk heb ik dan blinde darm ontsteking of heeft het met me darmen. Te maken
658;Hey hallo, Ik vraag mij af of er veel mensen zijn die zeurende steken links onder in de buik hebben. Zo ja, hoe lang duurt het bij jullie voordat het over gaat? Groetjes
659;Hoi Ik heb al paar dagen last van een opgezette buik En ook merkte ik straks met afvegen na ontlasting dat er slijm op het papier zat Ik heb ook best veel buikpijn Heeft dat met pds te maken ofzo ?
660;Hoi heb al paar dagen zuurende en prikkelende pijn in mijn onderbuik. Het pijn is meestal wel in het midden maar helemaal onder kant. Gaat niet over met pijnstillen. Wat zou dat kunnen zijn. Is het nodig om een afspraak in te plannen met huisarts?
661;Hoi, Ik heb sinds een week vage buikpijn en rugpijn, heb 2 weken geleden mijn menstruatie gehad dus daar heeft het niets mee te maken. Heb dit nog nooit eerder gehad. Herkend iemand dit? Moet ik hier mee naar de HA?
662;Hoi, Pijn 2cm boven mijn navel(meer rechts als in het midden), als ik erop druk wordt het echt scherp, kan dit wijzen op een prikkelbare darm of heeft dit ergens ander mee te maken? Hoop dat iemand me enig antwoord kan geven. Mijn dank!
663;I am postmenopausal (57 yrs old) and have period like pain, pain in my right side and a pulse of 110. I have emptied my bowels and taken paracetamol to no effect. No discharge (although I have had some in the past). Should I go to a doctor?
664;IK heb 2 kinderen en sinds kort heb ik Constante buikpijn en na het vrijen beetje bloedverlies en soms doet het ook pijn tijdens het vrijen. IK heb nu af en toe ook bruine afscheiding,heb vndaag uitstrijkje gehad en ga over 4 weken naar de gynacoloog,wat kan het zijn
665;Ik ben 22 jaar 181cm lang weeg 62kg ik werd vanmorgen wakker met pijn in mijn darmen / maag het voelt aan als een blok beton in mijn darmen. Wat kan ik hier tegen doen?
666;Ik ben een meid van 20. Ik heb al 3 dagen last van buikpijn en moet constant naar de wc ik heb zwarte ontlasting
667;Ik ben een vrouw van 49 jaar en ik heb al 13 jaar geen baarmoeder meer. Die is verwijderd vanwege vleesbomen. Vanaf die tijd heb ik buikpijn. En vooral na het eten. Het is net alsof ik heel veel eet. En mijn ontlasting is sinds kort een dikke brij. Nog net geen diarree.
668;Ik heb af en toe last van lichte steken in mijn onderbuik. Paar dagen geleden heb ik seks gehad met een condoom die over de datum was en nu een zwelling tussen grote en kleine schaamlippen. Die niet veel pijn doet maar wel af en toe gevoelig is.
669;Ik heb al een tijdje pijn onder mijn ribben links. Wat zou het kunnen zijn?
670;Ik heb al langere tijd last van mÃ­jn buik. Vaak na het afvegen heb ik last van heel stug doorzichtig slijm op het toiletpapier. Sinds kort is het anders. Mijn ontlasting zag er vreemd uit. En het slijm was oranje/bruin/rood van kleur. Wie kan mij vertellen wat ik mankeer?
671;Ik heb al meerdere dagen last van een maag die als een steen voelt en precies kort van adem de dokter had mij spasmomen en pentazol geschreven weliswaar heb ik het nog niet genomenâ€¦. maar nu heb ik pijn zelfs tot aan mijn borst zou dit toch een probleem zijn van mijn hart?
672;Ik heb de laatste tijd na het hardlopen (35 minuten)vaak buikpijnklachten. Komt meestal na 2 tot 3 dagen opzetten. Is dit normaal en waarom heb ik dit pas na een paar dagen en niet direct na het hardlopen? Kan ik hier wat aan doen?
673;Ik heb last van pijnlijke steken. Rechterzijde net onder de ribben. Wat zou dat kunnen zijn? Heb geen allergieÃ«n. Verder gezond.
674;Ik heb pijn aan de rechterkant van de buik waar ik last van heb
675;Ik heb pijnsteken in mijn rechteronderbuik, links van mijn heupbot. Voor de rest heb ik geen klachten of symptomen voor blindedarmontsteking! wat kan dit nog meer zijn?
676;Ik heb sinds vannacht ernstige steken in mijn onderbuik en als ik poep komt er alleen maar iets geels uit wat kan ik nu doen
677;Ik heb sinds zondag last van mijn rechter lies/zij.het doet niet constant pijn maar enkele keren per dag voel ik het. Ik heb geen koorts en niet misselijk. Wanneer moet je aan een blinde darm ontsteking denken?
678;Ik heb vanaf november vernoeidheidsklachten en vanaf december regelmatig pijn in m'n bovenbuik. Het is een zeurende pijn maar genoeg om niet te kunnen slapen. Ik ben 26 maar zie er tegen op om te werken en af te spreken met vrienden.
679;Last van de onderbuik links, pijnscheuten en steken vnl. links in onderbuik. Voel de pijn tijdens het hoesten en ook tijdens het liggen
680;Maagpijn, meerdere keren per dag ontlasting, 5 dagen geleden bloed bij ontlasting nu sinds 3 dagen zwarte ontlasting. Gebruik lithium 1000 Mg en depakine 1000 Mg. Afgelopen dagen 1x per dag omeprazol gebruikt !
681;Man 42 jaar, last van pijn in mijn darmen en geschiedenis van diverticulitis
682;Mijn vriend heeft al vanaf zaterdag hele heftige last van buikpijn net onder zijn ribben wat kan dit zijn? Hij is 18 en gebruiken nu de hele tijd een kruik en paracetamol maar het gaat niet weg
683;Na gebruik van zetpil diclofenac pijn in mijn maag. Dit komt met vlagen wat steken en een zwaar gevoel in de maag. Ik heb wel een maagbeschermer genomen van te voren. Kan de pijn kwaad?
684;Pijn in maag daarbij veel misselijk. Niet normaal kunnen functioneren. Na eten veel pijn en geen resultaat in bloedonderzoek. Pijn straalt uit naar linkerkant buik
685;Pijn schuiten links in beuk
686;Sinds een paar maanden heb ik onregelmatig last van buikpijn, een pijn die ik nog nooit heb gehad, het zit bovenin mijn buik 5cm onder mijn middenrif, naar een paar uur gaat het over, vooral als ik ga liggen, moet ik hiervoor langs mijn huisarts of kan ik het nog afwachten.
687;Sinds enkele jaren al veel last van darmen en daarbij laatste tijd heel veel lucht en opgeblazen gevoel. Ruikt niet aangenaam. Heeft iemand tips voor medicijnen en/of voedingsmiddelen die hier een positief effect op kunnen hebben?
688;Sinds gisteravond heb ik bij het eten directe buikpijn/maagpijn nu heb ik dat nog steeds.
689;Slijmverlies en last van buikpijn
690;Uit urine bleek een blaasontsteking, maar ik heb nu constante pijn in mijn rechter onderbuik. Deze pijn heb ik al langer dan een week. Heb steeds wat verhoging 37,8 . Moet ik toch naar de huisarts?
691;Wat zijn de sympthomen daarvan ? Ik heb heel erg veel pijn in me rechterbovenbuik , de hele tijd eigelijk wel . En het is zo'n vol gevoel , alsof er iets zwaars onderzit . Vroeger heb ik ook acute leverfalen gehad . Iemand die hier meer over weet ?
692;er is een cyste weg gehaald in mijn boven buik links nu blijft het zeer doen lins in de flank en in me buik ook steeds stekende pijn in rug en last met de ontlasting wat ka het zijn.
693;hallo,ik ben al een jaar gestopt met de pil,maar nu heb ik al een tijdje rond m,n eisprong vreselijke onderbuikpijn,en helle zere opgezwollen borsten!ik wordt er niet goed van.herkent iemand dit ook?
694;heb sinds gister pijn in mijn buik constante zeurende pijn afgewisseld met hevige steken. ging vanochtend naar het toilet en vond bloed in mijn ontlasting. Heeft iemand een idee wat dat kan zijn. bij voorbaat dank.
695;hoi ik ben een vrouw ik heb soms precies boven mijn navel van die kleine lichte steekjes zitten voelt net of er iemand met naaldjes zachtjes inprikt wat is dit eigenlijk het stopt ook gewoon weer
696;hoi ik heb sinds een paar dagen van een doffe pijn links boven in mijn buik rond de maagstreek kan iemand mij vertellen wat dat zou kunnen zijn groetjes
697;hoi, ik ben afgelopen week ongesteld geweest, en ik heb donderdagavond de nuvaring weer ingebracht. Maar ik heb nu last van een pijnlijke onderbuik, meer het gevoel dat ik ongesteld ben! En soms ook last van misselijkheid. Herkent iemand dit? Groetjes Leejoo
698;ik heb aan de rechterkant een akelig gevoel in mijn bovenbuik,mijn darmen bewegen steeds,ik vind het zo'n eng gevoel, hoe komt dit herkend iemand dit,ik heb wel last van obsipatie. Silly
699;ik heb al geruime tijd pijn in mijn maag en of darmen, en branddend zuur in de slokdarm,maar nu gaat het bijna niet meer weg, ik heb ook een branddende pijn in mijn maag,ik vraag me af hoe je een maagzweer herkent,<ik gebruik zantac maar helpt niet ,> weet iemand dit, groet nania
700;ik heb een ontzettend beklemd gevoel in mijn bovenbuik (maag) dit geeft een branderige pijn. ik heb hier sinds gisteren last van. de hele nacht wakker gelegen door een zeurende pijn. op advies van de huisarts renie geslikt maar dit doet niks. wat kan dit zijn?
701;ik heb sinds gister een grote bult op mijn onderbuik. deze is de laatste paar uur roder groter en pijnlijker geworden en het laatste uur is het zelfs moeilijk geworden te bewegen door de pijn. is het veilig om te wachten tot morgen om naar de huisarts te gaan of niet?
702;stekende pijn links boven in mijn buik, ter hoogte van mijn taille. Dit heb ik al een dag of 4
703;vrouw 46 pijn in onderbuik midden en rechts maar ook helemaal boven ben heel moe en heb lood in mijn benen soms misselijk
704;wat kan ik doen aan een pijnlijke opgezette buik, heb het gevoel dat ik me moet ontlasten maar er komt niks
705;Goedenavond ik heb al een tijdje een puisterige neus en ik vroeg me af of ik door het soms uitknijpen nu littekens heb of dit hoort bij me leeftijd (18) en of de mee eters en puistjes op me gezicht vanzelf weer gaan verdwijnen Attachments: image.jpg image.jpg
706;Eeen schilferige, rode jeukende huid op oogleden en in het gezicht en de oren. Wat kan dit zijn ? al een week last van jeuk boven ooglid nu ook onder mijn ogen .Klachten nemen toe Gebruik cholesterol medecijnen en bloeddruk tabletten Ben 56 jaar oud en ben een vrouw
707;Ik heb sinds februari een kleine ontsteking aan mijn linker onderste ooglid. Ik heb al 3 antibiotica kuurtjes gehad zonder resultaat. Wat zou ik nog kunnen doen? Attachments: image.jpg
708;al een week last van jeuk boven ooglid nu ook onder mijn ogen .Klachten nemen toe Gebruik cholesterol medecijnen en bloeddruk tabletten Ben 56 jaar oud en ben een vrouw
709;ben een jongen 18 jaar en heb een rood dik ooglid maar het voelt alsof er een bultje in ooglid zit (kan zwelling zijn via internet)
710;ik heb al een tijdje een strontje in mijn oog verder geen last van maar zit wel een bultje op het onderste ooglid, wat kan ik daaraan doen?
711;Al enige tijd heb ik Schokjes aande linkerkant van m'n borstbeen midden op de borst. Soms stevig als een elektrische schok en soms heel licht. Komt heel onregelmatig voor, is niet te voorspellen in rust en actie overdag en s'nachts Wie heeft er een idee
712;Als ik in mijn middenrif (thv zwaardvormig aanhangsel) druk, dan doet dat zeer op mijn borst aan beide kanten. Ook bij het ademen voel ik het, maar dan wel in mindere mate. Is dit gewoon iets onschuldigs of is er iets aan de hand?
713;"Beste dokter, Ik heb sinds 3 uur vanmiddag hele pijnlijke steken in m'n borst en het komt en gaat. Als ik zo'n â€˜aanval' heb weet ik echt niet wat ik moet en het doet zoveel pijn het straalt uit naar m'n rug. Heb het nu echt om de 2 minuten die â€˜aanvallen"" het is toch niks met m'n hart?"
714;Bij inspanning (traplopen,sporten) krijg ik pijn bij het ademen (borststreek) en trekt door naar mijn armen. Heb een hartfilm gemaakt en bloed gecontroleerd echter geen oorzaak gevonden. Moet nu terugkomen voor een gesprek bij Cardioloog. Wat kan dit zijn?
715;De dokter heeft mij gezegd dat ik last heb van wandpijn in de linkerborst. Is dit gevaarlijk ? En wat kan ik hier tegen doen. Is wel vrij vervelend aangezien ik altyd het gevoel heb da ik een hartinfarct aan het kweken ben
716;Mijn man heeft koorts een dag na bloedtransfusie. Is dat normaal?
717;Goedendag, Ik ben een gezonde 24 jarige man. Nu heb ik een uurtje op bed gelegen rechtop en nu heb ik pijn op mijn borst. Ik voel het bij me rib. Het lijkt ook of die verplaatst is. Enig advies wat ik thuis kan doen? Alvast bedankt!
718;Hallo allemaal, Ik ben een meisje, van 16 jaar sinds een paar dagen een soort druk achter Mn linker ribben. Het doet geen pijn tis eerder een zeurderig gevoel. Ook heb ik soma opeens in mijn borststreek een koud gevoel. Heb ook chronische hyperventilatie, maar betwijfel oft daardoor komt.
719;Hallo wat als je 14 bent en sinds een week verl pijn hebt op je borstkas en de ribben op je rug. De dokter geluisterd heeft en voof lever nier calcium leukyoten etc. Geprikt heeft en daar niks uit kwam e hij je niet wil doorsturen. Wat kan fit zijn spierdpanningh
720;"Heb al maanden hevige pijn op de borst. Slik dagelijks pijnstillers aan de lopende band. Na lang aandringen zijn er rÃ¶ngten foto's gemaakt en daarop is volgens de arts niets te zien. De langdurige pijn schrijft hij toe aan ""verkramping van de spieren"". Wat kan ik daar aan doen?"
721;Heb messteek gevoel bij hart. Heb syndroom van marfan maar onder controle. Wel of niet naar de huisarts . Geen bÃ¨tablokkers bloeddruk 100/60 soms lager
722;Mijn zoon van 13 klaagt sinds enkele weken over pijn aan de borst, rond de tepel. Het lijkt of er een verdikking onder de huid zit. Wat zou dit kunnen zijn?
723;Heb sinds woensdag af en toe flinke pijnscheuten in mijn borst.Zijn een soort steken die even aanhouden, achter mijn borstbeen. Gaat om een paar keer per dag, in rust en na kleine inspanningen. Wat is dit? Toch geen voorbode van een hartaanval? Geeft erg veel nervositeit. Wie heeft hier info over?
724;Hoi dokter, Ik heb nu al een tijdje last van steken precies in t midden onder mn borsten en dan steekt het uit naar de zijkant van mn boesy, het komt en het gaat, wat is dit? Het is enorm pijnlijk en ik krimp ook in 1x in elkaar als ik het heb
725;Hoi, sinds een dag of 4 geledwn heb ik af en toe een steek pijn in mijn borst. Wat moet ik doen? Wat kan dit zijn ?
726;Hoi. Ik heb al enkele weken last van mijn borst. Maar ook alleen maar als je op de tiet drukt. Heeft iemand dit ook? Ik ben een jongen. 14 jaar. An. O Niem
727;Hoi. Ik heb al enkele weken last van mijn borst. Maar ook alleen maar als je op de tiet drukt. Heeft iemand dit ook? Ik ben een jongen. 14 jaar. An. O Niem Soms krijg ik bij een inspanning een onaangenaam gevoel op de borst, dat duurt dan 1 of twee minuten en verdwijnt vervolgens en kan ik alle inspanningen makkelijk aan. Mijn vraag is wat kan hiervan de oorzakk
728;Ik heb al enkele weken (lees 3 maanden) al stekende pijn aan de zijkant van m'n linkerborst. Het is afgelopen week alleen maar erger geworden. Enig idee wat het zou kunnen zijn?
729;Ik heb een week geleden mijn aan me borstbeen gekregen en is pijn en dik nu maar dagen veder me linkerborst opgezwollen en me linker bovenbeen is twee x zo dik ? Wat kan dat zijn? Moet ik me ongerust maken?
730;Ik heb pijn bij het slikken van eten ,paar uur later pijn op de borst,wat is dat?
731;Ik heb sinds gisteravond last, zeurderig gevoel, voelt als spierpijn of kramp, als ik aan de rechterkant, net onder mijn ribben, druk, dan voelt het daar niet fijn. Het gevoel straalt ook uit naar de rug, net onder mijn schouderbladen. Wat kan dit zijn?
732;Ik nogal pijn op mijn borst aan de rechter.kant . Zoals ik voel is het het bot en als ik er op duw doet het nog zeerder. Ik ben 49 jaar vrouw
733;Ik voel zo nu en dan (1 Ã  2 x per week) een harde steek in mijn hart. Het is alsof er dan een mes in mijn hart wordt gestoken en doet ook heel veel pijn. Dit duurt dan niet lang,maar wel enkele minuten. Hoe zou dit kunnen komen? Dat ik rook is toch geen oorzaak hiervan?
734;Mijn vriend heeft sinds vanmorgen hevige pijn bij het inademen en gapen. Hij krijgt dan een pijnlijke steek rechts onder zn ribben. Wat kan dit zijn? Hij heeft hier erge last van en voelt zich ook ziek
735;Onder de rechter borst een pijnlijke plek, aan de buitenkant is niets te zien . Is alleen pijnlijk bij in en uitademen en met fietsen /auto rijden als je over een verdikking of kuil rijdt . Vrouw 55 jaar
736;Op onregelmatige momenten, bij wandeling in warmte, scherpe pijn links net onder ribben. Al enkele maanden pijn in onderkaak links, ook op onregelmatige momenten maar zonder inspanning. ook pijn bij linkerschouderblad op onregelmatige momenten zonder inspanning, vooral â€˜s nachts
737;Sinds deze namiddag krijg ik serieuze steken in mijn hart.Ben al jaren bloeddruk patient ben 44 jarige man rook niet of drink niet. Heb misschien wel een stresserende job maar had onlangs bloeddruk was volledig in orde.Van wat zou dit komen aub?
738;Sinds enkele dagen pijn aan de rechterkant van mijn long onder schouderblad vind het heel eigenaardig vanwaar zou dit komen aub?
739;Sinds gisteren enorme pijn tijdens in en uit ademen achter m'n ribben
740;ik heb sinds een week een knobbel in m'n linker oksel en steken in m'n linker borst, wat kan dit zijn?
741;Sinds paar dagen ben ik kort van adem bij het gaan of stappen oke ben 43 jaar en ben niet sportief en heb zittend werk maar heb ook harsteken sinds deze late namiddag gebruik al 10 jaar bloedverdunners tegen hoge bloeddruk heeft dit iets met mijn hart te maken?
742;Sinds vanavond heb ik pijnlijke steken aan het midden van de borstkas zou dat iets met mijn hart te doen hebben aub?
743;Soms krijg ik bij een inspanning een onaangenaam gevoel op de borst, dat duurt dan 1 of twee minuten en verdwijnt vervolgens en kan ik alle inspanningen makkelijk aan. Mijn vraag is wat kan hiervan de oorzakk
744;Telkens pijn op mijn borst. Ben nog jong maar het lijkt ook alsof mijn maag pijn doet. Heb wel wat stress. Maar ben bang dat het dan iets met mijn hart is. Mijn borstbeen en borst doet pijn als ik erop druk. Het is al 3 dagen aanwezig.
745;hallo, kheb soms last van mijn borst, bij mijn hart, het klopt soms 2 x heel snel achter elkaar , 2 aparte kloppen, klinken ook niet hetzelfde. Maar ik heb er nu 2x last van gehad in 1 week. me linker borst gedeelte doet dan best wel pijn als ik inadem en daarna uitadem. kan iemand dat uitleggen?
746;pijn, soort kramp, ca. elke twee minuten onder boezem over gehele breedte van ribbenkast. vorige week vastgesteld dat mijn hart niet op volle kracht pompt
747;Hallo Ik ben nu 34 weken en 4 dagen zwanger, En heb erg last met eten en drinken, als ik iets eet of drink lijkt het net alsof het blijft hangen, en met tamenlijk veel pijn, ademen doet soms ook pijn, wat zou dit kunnen zijn. het zit dan tussen mijn borst gr patries
748;Laatste weken wat klachten. â€“ verdikt â€“ opgezwollen onderbuik â€“ constipatie â€“ en nu gevoelige tepel (enkel linkerborst) Ik heb al 2 x bloedtest laten afnemen maar deze was steeds negatief. Kan het toch zijn dat Ik zwanger ben of heb ik gewoon last van afzonderlijke kwaaltjes?
749;hallo Mijn rechter boven arm slaapt de heletijd . zo voelt dat het klopt en het doet pijn met bewegen ook, ik heb dit al een paar dagen wat zou het zijn. ( heeft dit met zwangerschap te maken ben 37 weken zwanger) Mvg patricia
750;hallo ik heb een vraagje . ik heb een zeer opgezette buik ik ben al 2weken en 2dagen overtijd. mijn tandvlees bloed ongelooflijk fel dit heb ik nog nooit gehad ik ben misselijk en ik kan huilen om iets waar eigelijk om gelachen moet worden . ben ik nu zwanger ? x laat me wat weten aub x groetjes
751;Koorts
752;hoi ik ben 17 weken zwanger gisteren heel de dag over moeten geven eten en drinkenâ€¦ en veel pijn in me rug vandaag ook al 1x overgeven pijn on me zij en onderbuik en rug en veel afscheiding en een brander pijn en jeuk bij me poes! Veder super duizelig en heel moe
753;22 jaar ben al een week ziek koorts is gezakt.
754;Hoi Hoi , Ik heb als mijn weerstand slecht is(bijv. ongesteld zijn)vaak kloven in mijn mond en geheemelte. Het is zo pijnlijk ,ik kan bijna niet eten omdat dat erdan steeds tegenaan gaat. IK ben er echt ziek van koorts enz. Weet iemand wat er tegen helpt? John ben nu erg bleek kortademig en heb koorts maar bleej kan konen door weinig in de zon gezeten te hebben en korts door de warmte en heb zes weken geleden nog voor leukemie bloedgeprikt dan kan ik het nu toch ook nie hebben
755;Ik heb al 3 dagen koorts 38,4 . Het hoesten wordt alsmaar erger, en koorts zakt niks ondanks paracetamol en ibuprofen. Moet ik naar huisarts?
756;Ik heb koorts nadat ik in Thailand op vakantie ben geweest
757;John ben nu erg bleek kortademig en heb koorts maar bleej kan konen door weinig in de zon gezeten te hebben en korts door de warmte en heb zes weken geleden nog voor leukemie bloedgeprikt dan kan ik het nu toch ook nie hebben
758;Bloed druppeld als ik poep wat is dit? Ik heb er soms last van en ik hsb scheurende pijn als ik poep wat is dit?
759;De hele dag veel winden.Moeilijk in te houden.Soort van eten maakt niet uit. Vaak genante lucht. Wel kort na de warme maaltijd extra veel last. Dit is al weken zo. Ik ben man. Leeftijd is 73 jr. Gebruik geen medicijnen.Ben in 2014 28x bestraalt ivm prostaatkanker.
760;Ik heb sinds enkele dagen een bultje aan mijn anus. Deze is best gevoelig en hard. Weet niet echt goed wat ik er mee moet doen
761;Ik heb sinds gister rode bultjes met een soort wit puntje in mijn anus, het jeukt en voelt niet prettig, verder geen bloedverlies gelukkig, zijn dit aambeien of is dit iets anders?
762;Ik sinds de afgelopen dage een gevoel gehad dat ik iets rond me anus had, als ik pers dan steekt dit uit: iemand enig idee wat dit is? Ik heb wel a en toe bloed/slijm tijdens mijn ontlasting, verder heb ik nergens last van.
763;Man: 23 jaar 3 grijze bultjes in de anus, sinds 3 dagen geleden. geen pijn jeukt wel af en toe.
